phoneNumber,country,displayName,category,identityType,verificationLevel,source,confidence,sourceClass,sourceUrl,expiresAt
+9118002095577,IN,Axis Bank Customer Care,BANKING,BUSINESS,VERIFIED,AXIS_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.axisbank.com/home,
+9118001035577,IN,Axis Bank Customer Care,BANKING,BUSINESS,VERIFIED,AXIS_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.axisbank.com/home,
+9118604195555,IN,Axis Bank Customer Care,BANKING,BUSINESS,VERIFIED,AXIS_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.axisbank.com/home,
+9118605005555,IN,Axis Bank Customer Care,BANKING,BUSINESS,VERIFIED,AXIS_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.axisbank.com/home,
+9118002094324,IN,IDBI Bank Phone Banking,BANKING,BUSINESS,VERIFIED,IDBI_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.idbibank.in/customer-care-centre.aspx,
+911800221070,IN,IDBI Bank Phone Banking,BANKING,BUSINESS,VERIFIED,IDBI_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.idbibank.in/customer-care-centre.aspx,
+912267719100,IN,IDBI Bank Call Centre,BANKING,BUSINESS,VERIFIED,IDBI_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.idbibank.in/customer-care-centre.aspx,
+911800226999,IN,IDBI Bank Hotlisting,BANKING_SECURITY,BUSINESS,VERIFIED,IDBI_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.idbibank.in/customer-care-centre.aspx,
+9118004257600,IN,IDBI Bank Credit Card Customer Care,BANKING_CARD,BUSINESS,VERIFIED,IDBI_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.idbibank.in/credit-card-contact-us.aspx,
+912240426013,IN,IDBI Bank Credit Card Customer Care,BANKING_CARD,BUSINESS,VERIFIED,IDBI_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.idbibank.in/credit-card-contact-us.aspx,
