phoneNumber,country,displayName,category,identityType,verificationLevel,source,confidence,sourceClass,sourceUrl,expiresAt
+912233667777,IN,ICICI Bank Overseas Customer Care,BANKING,BUSINESS,VERIFIED,ICICI_BANK_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.icicibank.com/customer-care,
+911169329333,IN,Air India Customer Care,AIRLINE,BUSINESS,VERIFIED,AIR_INDIA_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.airindia.com/content/air-india/in/en/contact-us.html,
+911169329999,IN,Air India Customer Care,AIRLINE,BUSINESS,VERIFIED,AIR_INDIA_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.airindia.com/content/air-india/in/en/contact-us.html,
+911244973838,IN,IndiGo Customer Support,AIRLINE,BUSINESS,VERIFIED,INDIGO_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.goindigo.in/contact-us.html,
+911246173838,IN,IndiGo Customer Support,AIRLINE,BUSINESS,VERIFIED,INDIGO_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.goindigo.in/contact-us.html,
+919667106666,IN,Air India Cargo Customer Care,LOGISTICS,BUSINESS,VERIFIED,AIR_INDIA_CARGO_OFFICIAL,100,BUSINESS_OFFICIAL,https://cargo.airindia.com/in/en/contact-us.html,
+912268446530,IN,HDFC Life Customer Service,INSURANCE,BUSINESS,VERIFIED,HDFC_LIFE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.hdfclife.com/customer-service,
+918069385555,IN,ICICI Prudential Life International Customer Service,INSURANCE,BUSINESS,VERIFIED,ICICI_PRULIFE_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.iciciprulife.com/content/dam/icicipru/download-centre/applicationforms/Application_Form_19_V06.pdf,
+914469006900,IN,Star Health General Helpline,HEALTH_INSURANCE,BUSINESS,VERIFIED,STAR_HEALTH_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.starhealth.in/,
+914443664666,IN,Star Health Corporate Claims,HEALTH_INSURANCE,BUSINESS,VERIFIED,STAR_HEALTH_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.starhealth.in/,
+914466665050,IN,Star Health Banca Claims,HEALTH_INSURANCE,BUSINESS,VERIFIED,STAR_HEALTH_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.starhealth.in/,
+914443664600,IN,Star Health Grievance Care,HEALTH_INSURANCE,BUSINESS,VERIFIED,STAR_HEALTH_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.starhealth.in/,
+914440020888,IN,Star Health Senior Citizen Claims,HEALTH_INSURANCE,BUSINESS,VERIFIED,STAR_HEALTH_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.starhealth.in/,
+914469007500,IN,Star Health Senior Citizen Grievance,HEALTH_INSURANCE,BUSINESS,VERIFIED,STAR_HEALTH_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.starhealth.in/,
+919205010100,IN,Fortis Healthcare Appointment Support,HOSPITAL,BUSINESS,VERIFIED,FORTIS_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.fortishealthcare.com/contact-us,
+911244921021,IN,Fortis Healthcare Corporate Office,HOSPITAL,BUSINESS,VERIFIED,FORTIS_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.fortishealthcare.com/contact-us,
+911244921041,IN,Fortis Healthcare Corporate Office,HOSPITAL,BUSINESS,VERIFIED,FORTIS_OFFICIAL,100,BUSINESS_OFFICIAL,https://www.fortishealthcare.com/contact-us,
+915222887701,IN,Uttar Pradesh Power Corporation Limited Main Office,ELECTRICITY_UTILITY,BUSINESS,VERIFIED,UPPCL_OFFICIAL,100,PUBLIC_SERVICE_OFFICIAL,https://consumer.uppcl.org/wss/,
+918010957826,IN,Dakshinanchal Vidyut Vitaran Nigam WhatsApp,ELECTRICITY_UTILITY,BUSINESS,VERIFIED,UPPCL_OFFICIAL,100,PUBLIC_SERVICE_OFFICIAL,https://consumer.uppcl.org/wss/,
+917669003409,IN,Madhyanchal Vidyut Vitaran Nigam WhatsApp,ELECTRICITY_UTILITY,BUSINESS,VERIFIED,UPPCL_OFFICIAL,100,PUBLIC_SERVICE_OFFICIAL,https://consumer.uppcl.org/wss/,
+918010968292,IN,Purvanchal Vidyut Vitaran Nigam WhatsApp,ELECTRICITY_UTILITY,BUSINESS,VERIFIED,UPPCL_OFFICIAL,100,PUBLIC_SERVICE_OFFICIAL,https://consumer.uppcl.org/wss/,
+917859804803,IN,Pashchimanchal Vidyut Vitaran Nigam WhatsApp,ELECTRICITY_UTILITY,BUSINESS,VERIFIED,UPPCL_OFFICIAL,100,PUBLIC_SERVICE_OFFICIAL,https://consumer.uppcl.org/wss/,
+918287835233,IN,Kanpur Electricity Supply Company WhatsApp,ELECTRICITY_UTILITY,BUSINESS,VERIFIED,UPPCL_OFFICIAL,100,PUBLIC_SERVICE_OFFICIAL,https://consumer.uppcl.org/wss/,
+917305770577,IN,DTDC Domestic Booking,COURIER_LOGISTICS,BUSINESS,VERIFIED,DTDC_OFFICIAL,100,BUSINESS_OFFICIAL,https://ebooking.dtdc.in/,
+917676528888,IN,DTDC International Booking,COURIER_LOGISTICS,BUSINESS,VERIFIED,DTDC_OFFICIAL,100,BUSINESS_OFFICIAL,https://ebooking.dtdc.in/,
+911246719500,IN,Delhivery Corporate Contact,COURIER_LOGISTICS,BUSINESS,VERIFIED,DELHIVERY_OFFICIAL,100,BUSINESS_OFFICIAL,https://hrms.delhivery.com/,
